timestamp,model,accuracy,precision,recall,f1,roc_auc,tuned,high_card,notes,owner,experiment,n_features,MAE,MAE_std,RMSE,R2,MedAE,within_1_day_%,bias
xgboost,regression,/Users/primeshofficial/Documents/Projects/dataco-late-delivery-predictor/dataco-late-delivery-predictor/data/processed/local,target,False,1.0079,1.3064,0.3605,0.6498,0.7175,,,,,,,,,,
encoding_drop,Ridge,28,0.9965362719642371,0.007391094970922136,1.2717185640390198,0.3881378683896285,,,,,,,,,,,,,
encoding_drop,HistGB,28,0.9921879458699616,0.00883902297753929,1.2773179669619563,0.3827409764795357,,,,,,,,,,,,,
encoding_onehot_rare,Ridge,28,1.0028750370161574,0.008224937261695353,1.2729816981956157,0.3869180400651364,,,,,,,,,,,,,
encoding_onehot_rare,HistGB,28,0.9940270323130213,0.007658258250206192,1.2782378263968266,0.3818579123540128,,,,,,,,,,,,,
encoding_frequency,Ridge,28,0.9970208368957831,0.007491344496545599,1.2718936382476715,0.3879684897355921,,,,,,,,,,,,,
encoding_frequency,HistGB,28,0.9950772656538167,0.009066944835166763,1.2773108339480124,0.3827332940041429,,,,,,,,,,,,,
encoding_target,Ridge,28,1.0408864948841328,0.007381591741362259,1.2964311841793346,0.3641277408197849,,,,,,,,,,,,,
encoding_target,HistGB,28,1.0149585618590968,0.010106694678066887,1.314313295594955,0.3464472402699163,,,,,,,,,,,,,
selection_top27,HistGB,27,0.9923907054903273,0.009197038012896234,1.2778615494317975,0.3822130406362245,,,,,,,,,,,,,
selection_top12,HistGB,12,0.9792205899269215,0.007843925214490226,1.27256399098619,0.3873373514565246,,,,,,,,,,,,,
selection_top8,HistGB,8,0.9736313443314323,0.01063570378563891,1.2699123985357998,0.3898633588492362,,,,,,,,,,,,,
selection_top5,HistGB,5,0.969917313395751,0.008500207076861003,1.2686258418004324,0.3911039930159855,,,,,,,,,,,,,
selection_top3,HistGB,3,0.975806243786697,0.010754783102849563,1.2713497901837831,0.3884817086047622,,,,,,,,,,,,,
selection_top1,HistGB,1,0.9869999220684926,0.007487122751105711,1.271025830448124,0.3888007479252948,,,,,,,,,,,,,
encoding_drop,Ridge,28,0.9965362719642371,0.007391094970922136,1.2717185640390198,0.3881378683896285,,,,,,,,,,,,,
encoding_drop,HistGB,28,0.9921879458699616,0.00883902297753929,1.2773179669619563,0.3827409764795357,,,,,,,,,,,,,
encoding_onehot_rare,Ridge,28,1.0028750370161574,0.008224937261695353,1.2729816981956157,0.3869180400651364,,,,,,,,,,,,,
encoding_onehot_rare,HistGB,28,0.9940270323130213,0.007658258250206192,1.2782378263968266,0.3818579123540128,,,,,,,,,,,,,
encoding_frequency,Ridge,28,0.9970208368957831,0.007491344496545599,1.2718936382476715,0.3879684897355921,,,,,,,,,,,,,
encoding_frequency,HistGB,28,0.9950772656538167,0.009066944835166763,1.2773108339480124,0.3827332940041429,,,,,,,,,,,,,
encoding_target,Ridge,28,1.0408864948841328,0.007381591741362259,1.2964311841793346,0.3641277408197849,,,,,,,,,,,,,
encoding_target,HistGB,28,1.0149585618590968,0.010106694678066887,1.314313295594955,0.3464472402699163,,,,,,,,,,,,,
selection_top27,HistGB,27,0.9923907054903273,0.009197038012896234,1.2778615494317975,0.3822130406362245,,,,,,,,,,,,,
selection_top12,HistGB,12,0.9792205899269215,0.007843925214490226,1.27256399098619,0.3873373514565246,,,,,,,,,,,,,
selection_top8,HistGB,8,0.9736313443314323,0.01063570378563891,1.2699123985357998,0.3898633588492362,,,,,,,,,,,,,
selection_top5,HistGB,5,0.969917313395751,0.008500207076861003,1.2686258418004324,0.3911039930159855,,,,,,,,,,,,,
selection_top3,HistGB,3,0.975806243786697,0.010754783102849563,1.2713497901837831,0.3884817086047622,,,,,,,,,,,,,
selection_top1,HistGB,1,0.9869999220684926,0.007487122751105711,1.271025830448124,0.3888007479252948,,,,,,,,,,,,,
featureset_automatic (3),Ridge,3,0.9919485507660417,0.00784219721944776,1.2709287109460998,0.3888959123159127,,,,,,,,,,,,,
featureset_automatic (3),HistGB,3,0.975806243786697,0.010754783102849563,1.2713497901837831,0.3884817086047622,,,,,,,,,,,,,
featureset_team list (12),Ridge,12,0.9949792277312717,0.007377944625291995,1.271515175792336,0.3883341088753004,,,,,,,,,,,,,
featureset_team list (12),HistGB,12,0.9865716976936889,0.008386853880927905,1.279095612746063,0.3810200643342255,,,,,,,,,,,,,
encoding_drop,Ridge,28,0.9965362719642371,0.007391094970922136,1.2717185640390198,0.3881378683896285,,,,,,,,,,,,,
encoding_drop,HistGB,28,0.9921879458699616,0.00883902297753929,1.2773179669619563,0.3827409764795357,,,,,,,,,,,,,
encoding_onehot_rare,Ridge,28,1.0028750370161574,0.008224937261695353,1.2729816981956157,0.3869180400651364,,,,,,,,,,,,,
encoding_onehot_rare,HistGB,28,0.9940270323130213,0.007658258250206192,1.2782378263968266,0.3818579123540128,,,,,,,,,,,,,
encoding_frequency,Ridge,28,0.9970208368957831,0.007491344496545599,1.2718936382476715,0.3879684897355921,,,,,,,,,,,,,
encoding_frequency,HistGB,28,0.9950772656538167,0.009066944835166763,1.2773108339480124,0.3827332940041429,,,,,,,,,,,,,
encoding_target,Ridge,28,1.0408864948841328,0.007381591741362259,1.2964311841793346,0.3641277408197849,,,,,,,,,,,,,
encoding_target,HistGB,28,1.0149585618590968,0.010106694678066887,1.314313295594955,0.3464472402699163,,,,,,,,,,,,,
selection_top27,HistGB,27,0.9923907054903273,0.009197038012896234,1.2778615494317975,0.3822130406362245,,,,,,,,,,,,,
selection_top12,HistGB,12,0.9792205899269215,0.007843925214490226,1.27256399098619,0.3873373514565246,,,,,,,,,,,,,
selection_top8,HistGB,8,0.9736313443314323,0.01063570378563891,1.2699123985357998,0.3898633588492362,,,,,,,,,,,,,
selection_top5,HistGB,5,0.969917313395751,0.008500207076861003,1.2686258418004324,0.3911039930159855,,,,,,,,,,,,,
selection_top3,HistGB,3,0.975806243786697,0.010754783102849563,1.2713497901837831,0.3884817086047622,,,,,,,,,,,,,
selection_top1,HistGB,1,0.9869999220684926,0.007487122751105711,1.271025830448124,0.3888007479252948,,,,,,,,,,,,,
featureset_automatic (3),Ridge,3,0.9919485507660417,0.00784219721944776,1.2709287109460998,0.3888959123159127,,,,,,,,,,,,,
featureset_automatic (3),HistGB,3,0.975806243786697,0.010754783102849563,1.2713497901837831,0.3884817086047622,,,,,,,,,,,,,
featureset_team list (11),Ridge,11,0.9949736915024813,0.007371931601783257,1.2715116713720005,0.3883375150412017,,,,,,,,,,,,,
featureset_team list (11),HistGB,11,0.9868740598844846,0.00807457921565938,1.2794507459015183,0.3806736443450133,,,,,,,,,,,,,
,Ridge,,,,,,,,,M3,encoding_drop,11.0,0.9927741086008242,0.0079161616286747,1.2710928224090503,0.3887388088943226,,,
,HistGB,,,,,,,,,M3,encoding_drop,11.0,0.9859366344867956,0.008895155482418,1.278880968852424,0.3812187402540773,,,
,Ridge,,,,,,,,,M3,encoding_onehot,11.0,1.0026562570405648,0.0077677173409347,1.2750155346057643,0.3849607278187738,,,
,HistGB,,,,,,,,,M3,encoding_onehot,11.0,0.9874881105693092,0.0081493078788071,1.2798242156584076,0.380326680673159,,,
,Ridge,,,,,,,,,M3,encoding_onehot_rare,11.0,0.9962066294220752,0.0077098331189558,1.2714520531830695,0.3883928175610207,,,
,HistGB,,,,,,,,,M3,encoding_onehot_rare,11.0,0.9871795843691552,0.0082593755447295,1.279011270095837,0.3811031293304451,,,
,Ridge,,,,,,,,,M3,encoding_target,11.0,0.996017192168792,0.0082480820031136,1.2720431349119805,0.387825567800613,,,
,HistGB,,,,,,,,,M3,encoding_target,11.0,0.9835679753868672,0.0062486860514438,1.2760049471573207,0.3840153124210151,,,
,Ridge,,,,,,,,,M3,features_Shipping Mode only,1.0,0.9866942118770168,0.0072705857332253,1.2710299436013393,0.3887967768597299,,,
,HistGB,,,,,,,,,M3,features_Shipping Mode only,1.0,0.9869999220684926,0.0074871227511057,1.271025830448124,0.3888007479252948,,,
,Ridge,,,,,,,,,M3,features_team list without date features,6.0,0.9939440790923376,0.0079383889328282,1.2721784831283136,0.3876935567300804,,,
,HistGB,,,,,,,,,M3,features_team list without date features,6.0,0.9945071043912764,0.0079917729884653,1.2736613502521572,0.386266201759733,,,
,Ridge,,,,,,,,,M3,features_team list (FINAL),11.0,0.996017192168792,0.0082480820031136,1.2720431349119805,0.387825567800613,,,
,HistGB,,,,,,,,,M3,features_team list (FINAL),11.0,0.9835679753868672,0.0062486860514438,1.2760049471573207,0.3840153124210151,,,
,Ridge,,,,,,,,,M4,scaler_none,11.0,0.9960153186780072,0.0092207417734149,1.2720421574918706,0.3878265141059913,0.992592942464444,52.09489226610242,0.0003374152160133
,KNN (30% orders),,,,,,,,,M4,scaler_none,11.0,1.3013870381760069,0.0187418846152631,1.546326043277075,0.0973696208980745,1.2266666666666668,42.73034562216616,0.1689945436438998
,Ridge,,,,,,,,,M4,scaler_standard,11.0,0.996017192168792,0.0092216360214774,1.2720431349119805,0.387825567800613,0.9925929435663337,52.09779036908766,0.00033764273587
,KNN (30% orders),,,,,,,,,M4,scaler_standard,11.0,1.0468467708097642,0.017718107552342,1.3524757303058808,0.3095097989316963,0.9599999999999996,52.62101948481776,-0.0038208485428829
,Ridge,,,,,,,,,M4,scaler_robust,11.0,0.996018617617068,0.0092212999144541,1.2720432834815871,0.3878254291714872,0.9925965168667368,52.09416749612448,0.0003376558205831
,KNN (30% orders),,,,,,,,,M4,scaler_robust,11.0,1.0987253716520138,0.0182779588069721,1.383147006516787,0.2778584870946772,1.0266666666666666,50.06669629053228,0.045907781991936
,Ridge,,,,,,,,,M4,scaler_minmax,11.0,0.995910415734744,0.00921360846121,1.2720043223455568,0.3878629259665654,0.9926245824017528,52.09196006002797,0.0003314489942254
,KNN (30% orders),,,,,,,,,M4,scaler_minmax,11.0,1.0462456041887678,0.018494896632782,1.356180797367298,0.305687121310677,0.9599999999999996,52.924287055018134,8.227978370528282e-05
,HistGB (tree),,,,,,,,,M4,scaler_none,11.0,0.9835679753868672,0.0069862433905415,1.2760049471573207,0.3840153124210151,0.9825516426288944,52.21594003188268,-0.0001750077560418
